iter	RMSE
0	1.58016117
1	1.51413419
2	1.450689061
3	1.393174959
4	1.336525042
5	1.282876678
6	1.232133818
7	1.184568063
8	1.14076706
9	1.096852563
10	1.05613649
11	1.017923202
12	0.982479135
13	0.9475132322
14	0.9169694295
15	0.8868976027
16	0.857891792
17	0.8329582619
18	0.8090565834
19	0.7843042182
20	0.7609860201
21	0.7407724881
22	0.7201466612
23	0.7003991024
24	0.6829779615
25	0.6664772633
26	0.65198522
27	0.6380036742
28	0.6238925456
29	0.6104389663
30	0.5988509797
31	0.5870011432
32	0.5763319603
33	0.5663146856
34	0.5571147881
35	0.5479532846
36	0.5395147235
37	0.5317484192
38	0.5234809636
39	0.5170152799
40	0.5103379513
41	0.5042483386
42	0.4985212175
43	0.4930891772
44	0.4878040307
45	0.4830611884
46	0.4785038994
47	0.4736309554
48	0.4698290095
49	0.4665241569
50	0.4630044333
51	0.4598177943
52	0.4567213199
53	0.4538863933
54	0.4510396377
55	0.4483234654
56	0.4455647479
57	0.4432021238
58	0.4412827558
59	0.439228507
60	0.4371036107
61	0.4345575019
62	0.432580945
63	0.4308936814
64	0.429321303
65	0.4277998249
66	0.4261942328
67	0.4244531151
68	0.4228899885
69	0.4216837379
70	0.4196296
71	0.4185394052
72	0.4173354888
73	0.4156653417
74	0.4145326492
75	0.4135473645
76	0.4127287745
77	0.410409503
78	0.4092021723
79	0.407816568
80	0.4055235973
81	0.4045886324
82	0.4037916448
83	0.4029960002
84	0.4010334751
85	0.3995798312
86	0.3987137256
87	0.3980612401
88	0.3967192726
89	0.3961781135
90	0.3944663058
91	0.393572604
92	0.3927342565
93	0.39217316
94	0.3916710298
95	0.3903500975
96	0.3895141264
97	0.3889234257
98	0.3883515757
99	0.3871052278
100	0.3860871102
101	0.3855492216
102	0.3851037299
103	0.3844291808
104	0.3838211289
105	0.3828578114
106	0.3816777876
107	0.3812717848
108	0.3804082399
109	0.3797749881
110	0.379230262
111	0.3781793805
112	0.3778489726
113	0.3771786375
114	0.3762250505
115	0.3758899096
116	0.3754251656
117	0.3751000515
118	0.3745194233
119	0.3738281838
120	0.37337787
121	0.3730778038
122	0.3727797058
123	0.3721733846
124	0.3716086357
125	0.3711331561
126	0.3707344209
127	0.369913554
128	0.3696097103
129	0.3686726491
130	0.3676443588
131	0.36631134
132	0.3652404385
133	0.3644262632
134	0.3639550586
135	0.3633181704
136	0.3626714247
137	0.3618037023
138	0.3610731872
139	0.3607142353
140	0.3596691783
141	0.3592706454
142	0.3589744189
143	0.3582726486
144	0.3575213493
145	0.3572112378
146	0.3562046374
147	0.3558171459
148	0.3552387411
149	0.3541454637
150	0.3538527139
151	0.3528508216
152	0.3524665021
153	0.3513180075
154	0.350576688
155	0.3499890137
156	0.3492424224
157	0.3485258112
158	0.3480139206
159	0.3476571489
160	0.3473650683
161	0.3467280701
162	0.3461017387
163	0.3451637876
164	0.3447952585
165	0.344235949
166	0.343777323
167	0.3433990387
168	0.3427903674
169	0.3420915925
170	0.3416055006
171	0.3406923044
172	0.3402654682
173	0.3399778751
174	0.3395038384
175	0.3386924369
176	0.3383105648
177	0.3375240743
178	0.3367445296
179	0.3361924105
180	0.3357546951
181	0.3353368052
182	0.3343790467
183	0.3342227663
184	0.3339670888
185	0.3329835347
186	0.3326497466
187	0.3321021518
188	0.3311311242
189	0.3307063534
190	0.330219208
191	0.3296222456
192	0.3289416858
193	0.3286690465
194	0.3280199391
195	0.3274991243
196	0.3273473252
197	0.326769786
198	0.3257760315
199	0.3253980408
200	0.3250452418
201	0.3246626672
202	0.3238396994
203	0.3231022153
204	0.3226081635
205	0.3223741248
206	0.3219956461
207	0.3211022646
208	0.3202513438
209	0.3200140924
210	0.319508822
211	0.3189410211
212	0.3187943015
213	0.318316245
214	0.3175926005
215	0.3170985155
216	0.3168417362
217	0.3163481383
218	0.3159973854
219	0.3156306709
220	0.3153957883
221	0.3150909775
222	0.3146236328
223	0.3142772694
224	0.3136481099
225	0.3130401501
226	0.3127543162
227	0.3123858203
228	0.3118320308
229	0.3114290576
230	0.3112887994
231	0.310830098
232	0.3101374728
233	0.3097757404
234	0.3094111165
235	0.3089056146
236	0.3081571429
237	0.3076444039
238	0.307170225
239	0.3067159382
240	0.3063586203
241	0.3060719741
242	0.3056692748
243	0.3053342206
244	0.305125729
245	0.3047813406
246	0.3045484885
247	0.3041383505
248	0.3039889639
249	0.3036468577
250	0.3032871987
251	0.3027255203
252	0.3023962
253	0.3022127904
254	0.3019340843
255	0.3016784219
256	0.3015451817
257	0.3012469395
258	0.3009167794
259	0.3006855025
260	0.3002169234
261	0.2998522047
262	0.2993685156
263	0.2987999195
264	0.2985408184
265	0.2983848426
266	0.2981281036
267	0.2980856862
268	0.297843174
269	0.2975316622
270	0.2972264027
271	0.2968134335
272	0.2964643904
273	0.2963858163
274	0.2960600852
275	0.2956604447
276	0.2953265319
277	0.295053577
278	0.2948594084
279	0.2947179989
280	0.2944218489
281	0.2942156886
282	0.2939414718
283	0.2936663372
284	0.2935144757
285	0.2932224119
286	0.2929867611
287	0.2927471692
288	0.2925287533
289	0.2922100394
290	0.2919962759
291	0.2916585027
292	0.2914933728
293	0.2912413357
294	0.2911167722
295	0.2908845458
296	0.2906408186
297	0.2904770332
298	0.2903886688
299	0.2903273934
300	0.2899685087
301	0.2895550331
302	0.2892682702
303	0.2889432596
304	0.2887382179
305	0.2884094233
306	0.2883269485
307	0.2880262609
308	0.2878361971
309	0.2876002284
310	0.2873002349
311	0.2871275193
312	0.2868570816
313	0.2864747031
314	0.286220281
315	0.2860649911
316	0.2858754368
317	0.2856464793
318	0.2853793294
319	0.2851974261
320	0.2849577493
321	0.284867433
322	0.284633454
323	0.2845555161
324	0.2842350085
325	0.2840504854
326	0.2837486347
327	0.2835666872
328	0.2833912936
329	0.2831327373
330	0.2829334212
331	0.2826815783
332	0.2825137654
333	0.2822999193
334	0.2820941763
335	0.2819338191
336	0.2817888937
337	0.2816276213
338	0.2813142979
339	0.2811987122
340	0.2810093062
341	0.2808200229
342	0.2805185322
343	0.280243111
344	0.2799478852
345	0.2798400988
346	0.2796214488
347	0.2793089481
348	0.2790659044
349	0.2787814085
350	0.2786287813
351	0.278445811
352	0.2782578317
353	0.2781016505
354	0.2778582584
355	0.2775735532
356	0.2775124081
357	0.2773998948
358	0.2771721727
359	0.2768884182
360	0.2767346327
361	0.2765347927
362	0.276303835
363	0.2760803302
364	0.2759686689
365	0.2758423355
366	0.2757581751
367	0.2755191834
368	0.2753817696
369	0.2751980324
370	0.2750642483
371	0.2749015692
372	0.2747048649
373	0.2745576208
374	0.2743965842
375	0.2741799371
376	0.2739463295
377	0.2737689274
378	0.2736239815
379	0.2734295862
380	0.2731915539
381	0.273004106
382	0.2728166995
383	0.2726720976
384	0.2724868496
385	0.2721704641
386	0.2720462422
387	0.2719609282
388	0.2718406882
389	0.2716509804
390	0.2715111073
391	0.2712867916
392	0.2712139425
393	0.2710776904
394	0.2709670652
395	0.2707835267
396	0.2707801797
397	0.2706181392
398	0.2704604784
399	0.2703422867
400	0.2700659449
401	0.2699345548
402	0.2697277151
403	0.2696325447
404	0.2693272255
405	0.2692130424
406	0.2690865466
407	0.2690223642
408	0.2689067101
409	0.2686683287
410	0.268464222
411	0.2682744944
412	0.2680999374
413	0.267862975
414	0.2678142314
415	0.2676486345
416	0.2674725398
417	0.2673637524
418	0.2672721801
419	0.2671262721
420	0.2669050147
421	0.2667943695
422	0.2666746794
423	0.266609715
424	0.2664677257
425	0.2663747567
426	0.266253181
427	0.2661622582
428	0.2659921517
429	0.2658098468
430	0.2656994172
431	0.2655661353
432	0.2653560896
433	0.2651898118
434	0.2649739887
435	0.2647369864
436	0.264504502
437	0.2643372908
438	0.2642498367
439	0.2641049737
440	0.2640405095
441	0.2638350246
442	0.2637510707
443	0.2634999726
444	0.2634404651
445	0.2632871349
446	0.2631450526
447	0.263070136
448	0.2628812778
449	0.2627829684
450	0.2626295646
451	0.2624497409
452	0.262283567
453	0.2622126159
454	0.2620761016
455	0.2619519735
456	0.2618582106
457	0.2617149486
458	0.2616223672
459	0.2615044013
460	0.2613737935
461	0.2612517801
462	0.2611391011
463	0.2609773547
464	0.2607650459
465	0.2606905959
466	0.2605864762
467	0.260444717
468	0.2602553038
469	0.2601437306
470	0.260044172
471	0.2599660553
472	0.2598529569
473	0.2596381065
474	0.2594933328
475	0.2594245718
476	0.2592999293
477	0.2591844447
478	0.2589874412
479	0.2588848696
480	0.2587688939
481	0.2585657772
482	0.2584915794
483	0.2583735735
484	0.2582319951
485	0.2580403658
486	0.2579283938
487	0.2577979323
488	0.2577007667
489	0.2576190771
490	0.2575218756
491	0.2575076923
492	0.2573712698
493	0.2572843704
494	0.2571247401
495	0.2569803907
496	0.2568569624
497	0.2567213699
498	0.2566204106
499	0.2565272968
500	0.2564256404
501	0.256290797
502	0.2562738601
503	0.2561895957
504	0.2561083947
505	0.2559324526
506	0.2558040379
507	0.2557258091
508	0.2556168461
509	0.2554694553
510	0.2553389629
511	0.2553215035
512	0.255179809
513	0.2551125768
514	0.2549612487
515	0.2548517134
516	0.2547291716
517	0.2546131423
518	0.2544567859
519	0.2543318499
520	0.2542563519
521	0.2541060457
522	0.254016055
523	0.2538915838
524	0.2538142824
525	0.2536583674
526	0.2535567744
527	0.2534667742
528	0.2533869569
529	0.2531769587
530	0.2530468157
531	0.2529614411
532	0.2529349963
533	0.2527578204
534	0.2526795358
535	0.2525636282
536	0.2524544428
537	0.2523543845
538	0.2522187513
539	0.2521061918
540	0.2520019936
541	0.2518862843
542	0.2517490829
543	0.2516593928
544	0.2515828933
545	0.2514993897
546	0.2513959014
547	0.2513029197
548	0.2511041908
549	0.2509927138
550	0.2509197223
551	0.2507687877
552	0.2506132057
553	0.2504886447
554	0.2504748082
555	0.2504620581
556	0.2503487017
557	0.2502930716
558	0.2501713796
559	0.2501049362
560	0.2499693351
561	0.2499096311
562	0.2498267794
563	0.2496715635
564	0.2495710428
565	0.24943881
566	0.249427622
567	0.2493016949
568	0.2492699396
569	0.2491423664
570	0.249027908
571	0.2489233574
572	0.2487680459
573	0.2486782596
574	0.2485849475
575	0.2485083413
576	0.2483411457
577	0.2482357417
578	0.2481440895
579	0.2480134805
580	0.2479808215
581	0.2479201849
582	0.2477909862
583	0.2476357554
584	0.2475548623
585	0.2474791823
586	0.2473418787
587	0.2471899539
588	0.2471126224
589	0.247074842
590	0.2469722879
591	0.2468406558
592	0.2467206452
593	0.2466434608
594	0.2465457367
595	0.2464254493
596	0.2463208059
597	0.2462193978
598	0.2461682338
599	0.246040996
600	0.2459233925
601	0.2457154161
602	0.2456285313
603	0.2455301176
604	0.245458026
605	0.2454211555
606	0.2453115892
607	0.2451805047
608	0.245147305
609	0.2450474722
610	0.2449764547
611	0.244827241
612	0.2447377432
613	0.244650917
614	0.2445763081
615	0.2444296359
616	0.2442813829
617	0.2441912955
618	0.2440551844
619	0.2439465576
620	0.2438339141
621	0.2437633282
622	0.2436727455
623	0.2436003999
624	0.243540037
625	0.2434297513
626	0.2433471804
627	0.2432576581
628	0.2431331916
629	0.2430549778
630	0.2429286512
631	0.2428508643
632	0.242775318
633	0.2427076369
634	0.242576838
635	0.2423983847
636	0.2423394451
637	0.2422826389
638	0.2421668273
639	0.2420441195
640	0.2420148794
641	0.2419242651
642	0.2417798465
643	0.2416755973
644	0.2416732812
645	0.241591599
646	0.2415833202
647	0.2415344728
648	0.2415027014
649	0.2413925171
650	0.241298413
651	0.241237501
652	0.2411572185
653	0.2410423078
654	0.2409741923
655	0.2408240108
656	0.2407189725
657	0.2405912708
658	0.2404953856
659	0.2404285192
660	0.2403766382
661	0.2403249002
662	0.240284162
663	0.2401780357
664	0.2400493566
665	0.2399894241
666	0.2398527101
667	0.2397952942
668	0.2397255781
669	0.2396358088
670	0.2395091076
671	0.239322123
672	0.2392077253
673	0.2391217232
674	0.2390095919
675	0.2388782794
676	0.2388240463
677	0.2387716612
678	0.2386155811
679	0.2385308763
680	0.2384243938
681	0.2382933979
682	0.2382431474
683	0.2381309464
684	0.2380394792
685	0.2379646683
686	0.2378574394
687	0.237781597
688	0.2377492321
689	0.2376333603
690	0.2375476984
691	0.2375000348
692	0.2373840008
693	0.237290304
694	0.2372561467
695	0.2371614935
696	0.2370661498
697	0.2369347363
698	0.2368293476
699	0.2367607836
700	0.2366873707
701	0.2366102038
702	0.236530056
703	0.2365027411
704	0.2364378251
705	0.2363639895
706	0.2363018953
707	0.2361789767
708	0.2360984379
